CODE_CULTURE,LIBELLE_CULTURE,CODE_GROUPE_CULTURE,LIBELLE_GROUPE_CULTURE,ID_GROUP_JECAM
MPC,Mélange de protéagineux (pois et/ou lupin et/ou féverole) prépondérants semés avant le 31/05 et de céréales,8,Protéagineux,7
MPP,Mélange de protéagineux (pois et/ou lupin et/ou féverole),8,Protéagineux,7
MPT,Mélange de protéagineux semés tardivement (après le 31/05),8,Protéagineux,7
PAG,Autre protéagineux d’un autre genre,8,Protéagineux,7
PHI,Pois d’hiver,8,Protéagineux,7
PPR,Pois de printemps semé avant le 31/05,8,Protéagineux,7
PPT,Pois de printemps semé tardivement (après le 31/05),8,Protéagineux,7
CHV,Chanvre,9,Plantes à fibres,9
CSE,Chanvre sans étiquette conforme,9,Plantes à fibres,9
LIF,Lin fibres,9,Plantes à fibres,9
J5M,Jachère de 5 ans ou moins,11,Gel (surfaces gelées sans production),9
J6P,Jachère de 6 ans ou plus,11,Gel (surfaces gelées sans production),9
J6S,Jachère de 6 ans ou plus déclarée comme Surface d’intérêt écologique,11,Gel (surfaces gelées sans production),9
JNO,Jachère noire,11,Gel (surfaces gelées sans production),9
RIZ,Riz,14,Riz,1
LEC,Lentille cultivée (non fourragère),15,Légumineuses à grains,7
PCH,Pois chiche,15,Légumineuses à grains,7
BVF,Betterave fourragère,16,Fourrage,9
CAF,Carotte fourragère,16,Fourrage,9
CHF,Chou fourrager,16,Fourrage,9
CPL,Fourrage composé de céréales et/ou de protéagineux (en proportion < 50%) et/ou de légumineuses fourragères (en proportion < 50%),16,Fourrage,9
DTY,Dactyle de 5 ans ou moins,16,Fourrage,9
FAG,Autre fourrage annuel d’un autre genre,16,Fourrage,9
FET,Fétuque de 5 ans ou moins,16,Fourrage,9
FF5,Féverole fourragère implantée pour la récolte 2015,16,Fourrage,9
FF6,Féverole fourragère implantée pour la récolte 2016,16,Fourrage,9
FF7,Féverole fourragère implantée pour la récolte 2017,16,Fourrage,9
FF8,Féverole fourragère implantée pour la récolte 2018,16,Fourrage,9
FFO,Autre féverole fourragère,16,Fourrage,9
FLO,Fléole de 5 ans ou moins,16,Fourrage,9
FSG,Autre plante fourragère sarclée d’un autre genre,16,Fourrage,9
GAI,Gaillet,16,Fourrage,9
GES,Gesse,16,Fourrage,9
GFP,Autre graminée fourragère pure de 5 ans ou moins,16,Fourrage,9
JO5,Jarosse implantée pour la récolte 2015,16,Fourrage,9
JO6,Jarosse implantée pour la récolte 2016,16,Fourrage,9
JO7,Jarosse implantée pour la récolte 2017,16,Fourrage,9
JO8,Jarosse implantée pour la récolte 2018,16,Fourrage,9
JOD,Jarosse déshydratée,16,Fourrage,9
JOS,Autre jarosse,16,Fourrage,9
LEF,Lentille fourragère,16,Fourrage,9
LFH,Autre lupin fourrager d’hiver,16,Fourrage,9
LFP,Autre lupin fourrager de printemps,16,Fourrage,9
LH5,Lupin fourrager d’hiver implanté pour la récolte 2015,16,Fourrage,9
LH6,Lupin fourrager d’hiver implanté pour la récolte 2016,16,Fourrage,9
LH7,Lupin fourrager d’hiver implanté pour la récolte 2017,16,Fourrage,9
LH8,Lupin fourrager d'hiver implanté pour la récolte 2018,16,Fourrage,9
LO7,Lotier implanté pour la récolte 2017,16,Fourrage,9
LO8,Lotier implanté pour la récolte 2018,16,Fourrage,9
LOT,Lotier,16,Fourrage,9
LP5,Lupin fourrager de printemps implanté pour la récolte 2015,16,Fourrage,9
LP6,Lupin fourrager de printemps implanté pour la récolte 2016,16,Fourrage,9
LP7,Lupin fourrager de printemps implanté pour la récolte 2017,16,Fourrage,9
LP8,Lupin fourrager de printemps implanté pour la récolte 2018,16,Fourrage,9
LU5,Luzerne implantée pour la récolte 2015,16,Fourrage,9
LU6,Luzerne implantée pour la récolte 2016,16,Fourrage,9
LU7,Luzerne implantée pour la récolte 2017,16,Fourrage,9
LU8,Luzerne implantée pour la récolte 2018,16,Fourrage,9
LUD,Luzerne déshydratée,16,Fourrage,9
LUZ,Autre luzerne,16,Fourrage,9
MC5,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2015 et de céréales,16,Fourrage,9
MC6,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2016 et de céréales,16,Fourrage,9
MC7,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2017 et de céréales,16,Fourrage,9
MC8,Mélange de légumineuses fourragères prépondérantes implantées pour la récolte 2018 et de céréales et d’oléagineux,16,Fourrage,9
ME5,Mélilot implanté pour la récolte 2015,16,Fourrage,9
ME6,Mélilot implanté pour la récolte 2016,16,Fourrage,9
ME7,Mélilot implanté pour la récolte 2017,16,Fourrage,9
ME8,Mélilot implanté pour la récolte 2018,16,Fourrage,9
MED,Mélilot déshydraté,16,Fourrage,9
MEL,Autre mélilot,16,Fourrage,9
MH5,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2015 et d’herbacées ou de graminées fourragères,16,Fourrage,9
MH6,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2016 et d’herbacées ou de graminées fourragères,16,Fourrage,9
MH7,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2017 et d’herbacées ou de graminées fourragères,16,Fourrage,9
MI7,Minette implanté pour la récolte 2017,16,Fourrage,9
MI8,Minette implanté pour la récolte 2018,16,Fourrage,9
MIN,Minette,16,Fourrage,9
ML5,Mélange de légumineuses fourragères implantées pour la récolte 2015 (entre elles),16,Fourrage,9
ML6,Mélange de légumineuses fourragères implantées pour la récolte 2016 (entre elles),16,Fourrage,9
ML7,Mélange de légumineuses fourragères implantées pour la récolte 2017 (entre elles),16,Fourrage,9
ML8,Mélange de légumineuses fourragères implantées pour la récolte 2018 (entre elles),16,Fourrage,9
MLC,Mélange de légumineuses fourragères prépondérantes et de céréales et/ou d’oléagineux,16,Fourrage,9
MLD,Mélange de légumineuses déshydratées (entre elles),16,Fourrage,9
MLF,Mélange de légumineuses fourragères (entre elles),16,Fourrage,9
MLG,Mélange de légumineuses prépondérantes au semis et de graminées fourragères de 5 ans ou moins,16,Fourrage,9
MOH,Moha,16,Fourrage,9
NVF,Navet fourrager,16,Fourrage,9
PAT,Pâturin commun de 5 ans ou moins,16,Fourrage,9
PFH,Autre pois fourrager d’hiver,16,Fourrage,9
PFP,Autre pois fourrager de printemps,16,Fourrage,9
PH5,Pois fourrager d’hiver implanté pour la récolte 2015,16,Fourrage,9
PH6,Pois fourrager d’hiver implanté pour la récolte 2016,16,Fourrage,9
