LH6,Fourrage,Lupin fourrager d’hiver implanté pour la récolte 2016,,,
LH7,Fourrage,Lupin fourrager d’hiver implanté pour la récolte 2017,,,
LH8,Fourrage,Lupin fourrager d'hiver implanté pour la récolte 2018,,,
LO7,Fourrage,Lotier implanté pour la récolte 2017,,,
LO8,Fourrage,Lotier implanté pour la récolte 2018,,,
LOT,Fourrage,Lotier,,,
LP5,Fourrage,Lupin fourrager de printemps implanté pour la récolte 2015,,,
LP6,Fourrage,Lupin fourrager de printemps implanté pour la récolte 2016,,,
LP7,Fourrage,Lupin fourrager de printemps implanté pour la récolte 2017,,,
LP8,Fourrage,Lupin fourrager de printemps implanté pour la récolte 2018,,,
LU5,Fourrage,Luzerne implantée pour la récolte 2015,,,
LU6,Fourrage,Luzerne implantée pour la récolte 2016,,,
LU7,Fourrage,Luzerne implantée pour la récolte 2017,,,
LU8,Fourrage,Luzerne implantée pour la récolte 2018,,,
LUD,Fourrage,Luzerne déshydratée,,,
LUZ,Fourrage,Autre luzerne,,,
MC5,Fourrage,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2015 et de céréales,,,
MC6,Fourrage,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2016 et de céréales,,,
MC7,Fourrage,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2017 et de céréales,,,
MC8,Fourrage,Mélange de légumineuses fourragères prépondérantes implantées pour la récolte 2018 et de céréales et d’oléagineux,,,
ME5,Fourrage,Mélilot implanté pour la récolte 2015,,,
ME6,Fourrage,Mélilot implanté pour la récolte 2016,,,
ME7,Fourrage,Mélilot implanté pour la récolte 2017,,,
ME8,Fourrage,Mélilot implanté pour la récolte 2018,,,
MED,Fourrage,Mélilot déshydraté,,,
MEL,Fourrage,Autre mélilot,,,
MH5,Fourrage,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2015 et d’herbacées ou de graminées fourragères,,,
MH6,Fourrage,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2016 et d’herbacées ou de graminées fourragères,,,
MH7,Fourrage,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2017 et d’herbacées ou de graminées fourragères,,,
MI7,Fourrage,Minette implanté pour la récolte 2017,,,
MI8,Fourrage,Minette implanté pour la récolte 2018,,,
MIN,Fourrage,Minette,,,
ML5,Fourrage,Mélange de légumineuses fourragères implantées pour la récolte 2015 (entre elles),,,
ML6,Fourrage,Mélange de légumineuses fourragères implantées pour la récolte 2016 (entre elles),,,
ML7,Fourrage,Mélange de légumineuses fourragères implantées pour la récolte 2017 (entre elles),,,
ML8,Fourrage,Mélange de légumineuses fourragères implantées pour la récolte 2018 (entre elles),,,
MLC,Fourrage,Mélange de légumineuses fourragères prépondérantes et de céréales et/ou d’oléagineux,,,
MLD,Fourrage,Mélange de légumineuses déshydratées (entre elles),,,
MLF,Fourrage,Mélange de légumineuses fourragères (entre elles),,,
MLG,Fourrage,Mélange de légumineuses prépondérantes au semis et de graminées fourragères de 5 ans ou moins,,,
MOH,Fourrage,Moha,,,
NVF,Fourrage,Navet fourrager,,,
PAT,Fourrage,Pâturin commun de 5 ans ou moins,,,
PFH,Fourrage,Autre pois fourrager d’hiver,,,
PFP,Fourrage,Autre pois fourrager de printemps,,,
PH5,Fourrage,Pois fourrager d’hiver implanté pour la récolte 2015,,,
PH6,Fourrage,Pois fourrager d’hiver implanté pour la récolte 2016,,,
PH7,Fourrage,Pois fourrager d’hiver implanté pour la récolte 2017,,,
PH8,Fourrage,Pois fourrager d’hiver implanté pour la récolte 2018,,,
PP5,Fourrage,Pois fourrager de printemps implanté pour la récolte 2015,,,
PP6,Fourrage,Pois fourrager de printemps implanté pour la récolte 2016,,,
PP7,Fourrage,Pois fourrager de printemps implanté pour la récolte 2017,,,
PP8,Fourrage,Pois fourrager de printemps implanté pour la récolte 2018,,,
RDF,Fourrage,Radis fourrager,,,
SA5,Fourrage,Sainfoin implanté pour la récolte 2015,,,
SA6,Fourrage,Sainfoin implanté pour la récolte 2016,,,
SA7,Fourrage,Sainfoin implanté pour la récolte 2017,,,
SA8,Fourrage,Sainfoin implanté pour la récolte 2018,,,
SAD,Fourrage,Sainfoin déshydraté,,,
SAI,Fourrage,Autre sainfoin,,,
