ID_CROPS_FR,ICC1.1
CRN,7.04
CRS,2.01.90
CSS,#indef
DOL,7.04
EPI,2.01.06
FLA,#indef
FLP,#indef
FRA,3.04.05
GER,9.05.01
HAR,7.90
HPC,9.05.01
HSA,9.05.01
LBF,2.01.05
LSA,#indef
MAC,2.01.90
MLO,2.05.02
MRG,9.05.01
NVT,2.03.02
OIG,2.03.04
PAN,2.03.90
PAQ,9.05.01
PAS,2.05.01
PMV,9.05.01
POR,2.03.05
POT,2.02.04
PPO,7.07
PSE,9.05.01
PTC,5.01
PTF,5.01
PVP,6.02.1.01
RDI,2.03.90
ROQ,2.01.90
RUT,2.03.90
SFI,2.03.90
TOM,2.02.03
TOP,5.90
VER,9.05.01
CSA,8.02
CSF,8.02
CSI,8.02
CSP,8.02
CSR,8.02
ACA,#indef
BFP,#exclude
BFS,#exclude
BOR,#exclude
BRO,9.01.02
BTA,#exclude
CAE,3.06.03
CEE,3.06.90
CNE,3.06.90
CID,#exclude
CIT,#exclude
CUA,#exclude
MCT,9.01.01
MPA,#exclude
MRS,#exclude
NYG,4.03.04
PCL,9.03.02.90
PEP,#exclude
ROS,9.90.02
SBO,#exclude
SNA,#exclude
SNE,#exclude
TBT,5�?
TCR,#exclude
TRU,2.04
VET,9.90.02
ZZZ,#exclude
MLS,#exclude
