ID_CROPS_FR,GROUP_FR,CROPS_FR,ID_GROUP_FR,GROUP_FR_filtered,CROPS_FR_filtered,match,max_match,ID_GROUP_ICC,sim
TTH,Autres céréales,Triticale d’hiver,4,céréales,Triticale dhiver,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
TTP,Autres céréales,Triticale de printemps,4,céréales,Triticale de printemps,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
CZH,Colza,Colza d’hiver,5,Colza,Colza dhiver,"[['GROUP_FR', 5, 'Colza', 'Colza', 4, 100.0]]","['GROUP_FR', 5, 'Colza', 'Colza', 4, 100.0]",4.0,100.0
CZP,Colza,Colza de printemps,5,Colza,Colza de printemps,"[['GROUP_FR', 5, 'Colza', 'Colza', 4, 100.0]]","['GROUP_FR', 5, 'Colza', 'Colza', 4, 100.0]",4.0,100.0
TRN,Tournesol,Tournesol,6,Tournesol,Tournesol,"[['GROUP_FR', 6, 'Tournesol', 'Tournesol', 4, 100.0], ['CROPS_FR', 'TRN', 'Tournesol', 'Tournesol', 4, 100.0]]","['GROUP_FR', 6, 'Tournesol', 'Tournesol', 4, 100.0]",4.0,100.0
ARA,Autres oléagineux,Arachide,7,oléagineux,Arachide,"[['GROUP_FR', 7, 'oléagineux', 'Fruits oléagineux', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'oléagineux temporaire', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'oléagineux temporaire', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'Oléagineux permanent', 4, 90.0], ['GROUP_FR', 7, 'oléagineux', 'fruits oléagineux', 4, 100.0], ['CROPS_FR', 'ARA', 'Arachide', 'Arachides', 4, 94.0]]","['GROUP_FR', 7, 'oléagineux', 'Fruits oléagineux', 4, 100.0]",4.0,100.0
LIH,Autres oléagineux,Lin non textile d’hiver,7,oléagineux,Lin non textile dhiver,"[['GROUP_FR', 7, 'oléagineux', 'Fruits oléagineux', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'oléagineux temporaire', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'oléagineux temporaire', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'Oléagineux permanent', 4, 90.0], ['GROUP_FR', 7, 'oléagineux', 'fruits oléagineux', 4, 100.0]]","['GROUP_FR', 7, 'oléagineux', 'Fruits oléagineux', 4, 100.0]",4.0,100.0
LIP,Autres oléagineux,Lin non textile de printemps,7,oléagineux,Lin non textile de printemps,"[['GROUP_FR', 7, 'oléagineux', 'Fruits oléagineux', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'oléagineux temporaire', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'oléagineux temporaire', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'Oléagineux permanent', 4, 90.0], ['GROUP_FR', 7, 'oléagineux', 'fruits oléagineux', 4, 100.0]]","['GROUP_FR', 7, 'oléagineux', 'Fruits oléagineux', 4, 100.0]",4.0,100.0
MOL,Autres oléagineux,Mélange d’oléagineux,7,oléagineux,Mélange doléagineux,"[['GROUP_FR', 7, 'oléagineux', 'Fruits oléagineux', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'oléagineux temporaire', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'oléagineux temporaire', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'Oléagineux permanent', 4, 90.0], ['GROUP_FR', 7, 'oléagineux', 'fruits oléagineux', 4, 100.0]]","['GROUP_FR', 7, 'oléagineux', 'Fruits oléagineux', 4, 100.0]",4.0,100.0
NVE,Autres oléagineux,Navette d’été,7,oléagineux,Navette dété,"[['GROUP_FR', 7, 'oléagineux', 'Fruits oléagineux', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'oléagineux temporaire', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'oléagineux temporaire', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'Oléagineux permanent', 4, 90.0], ['GROUP_FR', 7, 'oléagineux', 'fruits oléagineux', 4, 100.0]]","['GROUP_FR', 7, 'oléagineux', 'Fruits oléagineux', 4, 100.0]",4.0,100.0
NVH,Autres oléagineux,Navette d’hiver,7,oléagineux,Navette dhiver,"[['GROUP_FR', 7, 'oléagineux', 'Fruits oléagineux', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'oléagineux temporaire', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'oléagineux temporaire', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'Oléagineux permanent', 4, 90.0], ['GROUP_FR', 7, 'oléagineux', 'fruits oléagineux', 4, 100.0]]","['GROUP_FR', 7, 'oléagineux', 'Fruits oléagineux', 4, 100.0]",4.0,100.0
OAG,Autres oléagineux,Autre oléagineux d’un autre genre,7,oléagineux,oléagineux dun genre,"[['GROUP_FR', 7, 'oléagineux', 'Fruits oléagineux', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'oléagineux temporaire', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'oléagineux temporaire', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'Oléagineux permanent', 4, 90.0], ['GROUP_FR', 7, 'oléagineux', 'fruits oléagineux', 4, 100.0]]","['GROUP_FR', 7, 'oléagineux', 'Fruits oléagineux', 4, 100.0]",4.0,100.0
OEH,Autres oléagineux,Autre oléagineux d’espèce Helianthus,7,oléagineux,oléagineux despèce Helianthus,"[['GROUP_FR', 7, 'oléagineux', 'Fruits oléagineux', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'oléagineux temporaire', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'oléagineux temporaire', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'Oléagineux permanent', 4, 90.0], ['GROUP_FR', 7, 'oléagineux', 'fruits oléagineux', 4, 100.0]]","['GROUP_FR', 7, 'oléagineux', 'Fruits oléagineux', 4, 100.0]",4.0,100.0
OEI,Autres oléagineux,Œillette,7,oléagineux,Œillette,"[['GROUP_FR', 7, 'oléagineux', 'Fruits oléagineux', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'oléagineux temporaire', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'oléagineux temporaire', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'Oléagineux permanent', 4, 90.0], ['GROUP_FR', 7, 'oléagineux', 'fruits oléagineux', 4, 100.0]]","['GROUP_FR', 7, 'oléagineux', 'Fruits oléagineux', 4, 100.0]",4.0,100.0
OHN,Autres oléagineux,Autre oléagineux d’hiver d’espèce Brassica napus,7,oléagineux,oléagineux dhiver despèce Brassica napus,"[['GROUP_FR', 7, 'oléagineux', 'Fruits oléagineux', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'oléagineux temporaire', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'oléagineux temporaire', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'Oléagineux permanent', 4, 90.0], ['GROUP_FR', 7, 'oléagineux', 'fruits oléagineux', 4, 100.0]]","['GROUP_FR', 7, 'oléagineux', 'Fruits oléagineux', 4, 100.0]",4.0,100.0
OHR,Autres oléagineux,Autre oléagineux d’hiver d’espèce Brassica rapa,7,oléagineux,oléagineux dhiver despèce Brassica rapa,"[['GROUP_FR', 7, 'oléagineux', 'Fruits oléagineux', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'oléagineux temporaire', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'oléagineux temporaire', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'Oléagineux permanent', 4, 90.0], ['GROUP_FR', 7, 'oléagineux', 'fruits oléagineux', 4, 100.0]]","['GROUP_FR', 7, 'oléagineux', 'Fruits oléagineux', 4, 100.0]",4.0,100.0
