"TYPE (1=TEMPORARY, 2 = PERMANENT) ",ID_GROUP,GROUP,ID_CROPS,CROPS,ID_SUBCROPS,SUBCROPS,ID_SUBSUBCROPS,SUBSUBCROPS
1.0,8,Sugar crops,82.0,Sugar cane,,NULL,,NULL
1.0,8,Sugar crops,83.0,Sweet sorghum,,NULL,,NULL
1.0,8,Sugar crops,89.0,Other sugar crops n.e.c,,NULL,,NULL
1.0,9,Other crops,91.0,Grasses and other fodder crops,911.0,Temporary grass crops,,NULL
2.0,9,Other crops,91.0,Grasses and other fodder crops,912.0,Permanent grass crops,,NULL
1.0,9,Other crops,92.0,Fibre crops,921.0,Temporary fibre crops,9211.0,Cotton
1.0,9,Other crops,92.0,Fibre crops,921.0,Temporary fibre crops,9212.0,"Jute, kenaf, and other similar crops"
1.0,9,Other crops,92.0,Fibre crops,921.0,Temporary fibre crops,9213.0,"Flax, hemp, and other similar products"
1.0,9,Other crops,92.0,Fibre crops,921.0,Temporary fibre crops,9219.0,Other temporary fibre crops
2.0,9,Other crops,92.0,Fibre crops,922.0,Permanent fibre crops,,NULL
1.0,9,Other crops,93.0,"Medicinal, aromatic, pesticidal, or similar crops",931.0,"Temporary medicinal, etc. crops",,NULL
2.0,9,Other crops,93.0,"Medicinal, aromatic, pesticidal, or similar crops",932.0,"Permanent medicinal, etc. crops",,NULL
2.0,9,Other crops,94.0,Rubber,,NULL,,NULL
1.0,9,Other crops,95.0,Flower crops,951.0,Temporary flower crops,,NULL
2.0,9,Other crops,95.0,Flower crops,952.0,Permanent flower crops,,NULL
1.0,9,Other crops,96.0,Tobacco,,NULL,,NULL
1.0,9,Other crops,99.0,Other crops,991.0,Other crops - temporary,,NULL
2.0,9,Other crops,99.0,Other crops,992.0,Other crops - permanent,,NULL
