"TYPE (1=TEMPORARY, 2 = PERMANENT) ",ID_GROUP,GROUP,ID_CROPS,CROPS,ID_SUBCROPS,SUBCROPS,ID_SUBSUBCROPS,SUBSUBCROPS,GROUPE
2.0,6,Beverage and spice crops,62.0,Spice crops,622.0,Permanent spice crops,6225.0,Ginger,Cultures de boissons et d'épices
2.0,6,Beverage and spice crops,62.0,Spice crops,622.0,Permanent spice crops,6226.0,Vanilla,Cultures de boissons et d'épices
2.0,6,Beverage and spice crops,62.0,Spice crops,622.0,Permanent spice crops,6229.0,"Other permanent spice crops, n.e.c",Cultures de boissons et d'épices
1.0,7,Leguminous crops,71.0,Beans,,,,,Légumineuses
1.0,7,Leguminous crops,72.0,Broad beans,,,,,Légumineuses
1.0,7,Leguminous crops,73.0,Chick peas,,,,,Légumineuses
1.0,7,Leguminous crops,74.0,Cow peas,,,,,Légumineuses
1.0,7,Leguminous crops,75.0,Lentils,,,,,Légumineuses
1.0,7,Leguminous crops,76.0,Lupins,,,,,Légumineuses
1.0,7,Leguminous crops,77.0,Peas,,,,,Légumineuses
1.0,7,Leguminous crops,78.0,Pigeon peas,,,,,Légumineuses
1.0,7,Leguminous crops,79.0,"Leguminous crops, n.e.c",,,,,Légumineuses
1.0,8,Sugar crops,81.0,Sugar beet,,,,,Cultures sucrières
1.0,8,Sugar crops,82.0,Sugar cane,,,,,Cultures sucrières
1.0,8,Sugar crops,83.0,Sweet sorghum,,,,,Cultures sucrières
1.0,8,Sugar crops,89.0,Other sugar crops n.e.c,,,,,Cultures sucrières
1.0,9,Other crops,91.0,Grasses and other fodder crops,911.0,Temporary grass crops,,,Autres cultures
2.0,9,Other crops,91.0,Grasses and other fodder crops,912.0,Permanent grass crops,,,Autres cultures
1.0,9,Other crops,92.0,Fibre crops,921.0,Temporary fibre crops,9211.0,Cotton,Autres cultures
1.0,9,Other crops,92.0,Fibre crops,921.0,Temporary fibre crops,9212.0,"Jute, kenaf, and other similar crops",Autres cultures
1.0,9,Other crops,92.0,Fibre crops,921.0,Temporary fibre crops,9213.0,"Flax, hemp, and other similar products",Autres cultures
1.0,9,Other crops,92.0,Fibre crops,921.0,Temporary fibre crops,9219.0,Other temporary fibre crops,Autres cultures
2.0,9,Other crops,92.0,Fibre crops,922.0,Permanent fibre crops,,,Autres cultures
1.0,9,Other crops,93.0,"Medicinal, aromatic, pesticidal, or similar crops",931.0,"Temporary medicinal, etc. crops",,,Autres cultures
2.0,9,Other crops,93.0,"Medicinal, aromatic, pesticidal, or similar crops",932.0,"Permanent medicinal, etc. crops",,,Autres cultures
2.0,9,Other crops,94.0,Rubber,,,,,Autres cultures
1.0,9,Other crops,95.0,Flower crops,951.0,Temporary flower crops,,,Autres cultures
2.0,9,Other crops,95.0,Flower crops,952.0,Permanent flower crops,,,Autres cultures
1.0,9,Other crops,96.0,Tobacco,,,,,Autres cultures
1.0,9,Other crops,99.0,Other crops,991.0,Other crops - temporary,,,Autres cultures
2.0,9,Other crops,99.0,Other crops,992.0,Other crops - permanent,,,Autres cultures
