ID_CROPS_FR,GROUP_FR,CROPS_FR,ID_GROUP_FR,GROUP_FR_filtered,CROPS_FR_filtered,match,max_match,ID_GROUP_ICC,sim
BDP,Autres céréales,Blé dur de printemps,4,céréales,Blé dur de printemps,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'BDP', 'Blé dur de printemps', 'Blé', 1, 100]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
BDT,Autres céréales,Blé dur de printemps semé tardivement (après le 31/05),4,céréales,Blé dur de printemps semé tardivement,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'BDT', 'Blé dur de printemps semé tardivement', 'Blé', 1, 100]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
CAG,Autres céréales,Autre céréale d’un autre genre,4,céréales,céréale dun genre,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'CAG', 'céréale dun genre', 'Céréales', 1, 80]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
CGF,Autres céréales,Autre céréale de genre Fagopyrum,4,céréales,céréale de genre Fagopyrum,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'CGF', 'céréale de genre Fagopyrum', 'Céréales', 1, 80]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
CGH,Autres céréales,Autre céréale de genre Phalaris,4,céréales,céréale de genre Phalaris,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'CGH', 'céréale de genre Phalaris', 'Céréales', 1, 80]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
CGO,Autres céréales,Autre céréale de genre Sorghum,4,céréales,céréale de genre Sorghum,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'CGO', 'céréale de genre Sorghum', 'Céréales', 1, 80]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
CGP,Autres céréales,Autre céréale de genre Panicum,4,céréales,céréale de genre Panicum,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'CGP', 'céréale de genre Panicum', 'Céréales', 1, 80]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
CGS,Autres céréales,Autre céréale de genre Setaria,4,céréales,céréale de genre Setaria,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'CGS', 'céréale de genre Setaria', 'Céréales', 1, 80]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
CHA,Autres céréales,Autre céréale d’hiver de genre Avena,4,céréales,céréale dhiver de genre Avena,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'CHA', 'céréale dhiver de genre Avena', 'Céréales', 1, 80]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
CHH,Autres céréales,Autre céréale d’hiver de genre Hordeum,4,céréales,céréale dhiver de genre Hordeum,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'CHH', 'céréale dhiver de genre Hordeum', 'Céréales', 1, 80]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
CHS,Autres céréales,Autre céréale d’hiver de genre Secale,4,céréales,céréale dhiver de genre Secale,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'CHS', 'céréale dhiver de genre Secale', 'Céréales', 1, 80]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
CHT,Autres céréales,Autre céréale d’hiver de genre Triticum,4,céréales,céréale dhiver de genre Triticum,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'CHT', 'céréale dhiver de genre Triticum', 'Céréales', 1, 80]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
CPA,Autres céréales,Autre céréale de printemps de genre Avena,4,céréales,céréale de printemps de genre Avena,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'CPA', 'céréale de printemps de genre Avena', 'Céréales', 1, 80]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
CPH,Autres céréales,Autre céréale de printemps de genre Hordeum,4,céréales,céréale de printemps de genre Hordeum,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'CPH', 'céréale de printemps de genre Hordeum', 'Céréales', 1, 80]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
CPS,Autres céréales,Autre céréale de printemps de genre Secale,4,céréales,céréale de printemps de genre Secale,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'CPS', 'céréale de printemps de genre Secale', 'Céréales', 1, 80]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
CPT,Autres céréales,Autre céréale de printemps de genre Triticum,4,céréales,céréale de printemps de genre Triticum,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'CPT', 'céréale de printemps de genre Triticum', 'Céréales', 1, 80]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
CPZ,Autres céréales,Autre céréale de printemps de genre Zea,4,céréales,céréale de printemps de genre Zea,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'CPZ', 'céréale de printemps de genre Zea', 'Céréales', 1, 80]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
EPE,Autres céréales,Épeautre,4,céréales,Épe,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
MCR,Autres céréales,Mélange de céréales,4,céréales,Mélange de céréales,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'MCR', 'Mélange de céréales', 'Céréales', 1, 88]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
MLT,Autres céréales,Millet,4,céréales,Millet,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'MLT', 'Millet', 'Millet', 1, 100]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
SGH,Autres céréales,Seigle d’hiver,4,céréales,Seigle dhiver,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'SGH', 'Seigle dhiver', 'Seigle', 1, 100]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
SGP,Autres céréales,Seigle de printemps,4,céréales,Seigle de printemps,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'SGP', 'Seigle de printemps', 'Seigle', 1, 100]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
SOG,Autres céréales,Sorgho,4,céréales,Sorgho,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'SOG', 'Sorgho', 'Sorgho', 1, 100], ['CROPS_FR', 'SOG', 'Sorgho', 'Sorgho doux', 8, 100.0]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
SRS,Autres céréales,Sarrasin,4,céréales,Sarrasin,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'SRS', 'Sarrasin', 'Sarrasin', 1, 100]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
TTH,Autres céréales,Triticale d’hiver,4,céréales,Triticale dhiver,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'TTH', 'Triticale dhiver', 'Triticale', 1, 100]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
TTP,Autres céréales,Triticale de printemps,4,céréales,Triticale de printemps,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'TTP', 'Triticale de printemps', 'Triticale', 1, 100]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
CZH,Colza,Colza d’hiver,5,Colza,Colza dhiver,"[['GROUP_FR', 5, 'Colza', 'Colza', 4, 100], ['CROPS_FR', 'CZH', 'Colza dhiver', 'Colza', 4, 100]]","['GROUP_FR', 5, 'Colza', 'Colza', 4, 100]",4.0,100.0
CZP,Colza,Colza de printemps,5,Colza,Colza de printemps,"[['GROUP_FR', 5, 'Colza', 'Colza', 4, 100], ['CROPS_FR', 'CZP', 'Colza de printemps', 'Colza', 4, 100]]","['GROUP_FR', 5, 'Colza', 'Colza', 4, 100]",4.0,100.0
TRN,Tournesol,Tournesol,6,Tournesol,Tournesol,"[['GROUP_FR', 6, 'Tournesol', 'Tournesol', 4, 100], ['CROPS_FR', 'TRN', 'Tournesol', 'Tournesol', 4, 100]]","['GROUP_FR', 6, 'Tournesol', 'Tournesol', 4, 100]",4.0,100.0
ARA,Autres oléagineux,Arachide,7,oléagineux,Arachide,"[['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', ""Cultures permanentes d'oléagineux"", 4, 91.0], ['GROUP_FR', 7, 'oléagineux', 'Autres fruits oléagineux', 4, 100.0], ['CROPS_FR', 'ARA', 'Arachide', 'Arachides', 4, 94]]","['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0]",4.0,100.0
LIH,Autres oléagineux,Lin non textile d’hiver,7,oléagineux,Lin non textile dhiver,"[['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', ""Cultures permanentes d'oléagineux"", 4, 91.0], ['GROUP_FR', 7, 'oléagineux', 'Autres fruits oléagineux', 4, 100.0], ['CROPS_FR', 'LIH', 'Lin non textile dhiver', 'Lin', 9, 100]]","['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0]",4.0,100.0
LIP,Autres oléagineux,Lin non textile de printemps,7,oléagineux,Lin non textile de printemps,"[['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', ""Cultures permanentes d'oléagineux"", 4, 91.0], ['GROUP_FR', 7, 'oléagineux', 'Autres fruits oléagineux', 4, 100.0], ['CROPS_FR', 'LIP', 'Lin non textile de printemps', 'Lin', 9, 100]]","['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0]",4.0,100.0
MOL,Autres oléagineux,Mélange d’oléagineux,7,oléagineux,Mélange doléagineux,"[['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', ""Cultures permanentes d'oléagineux"", 4, 91.0], ['GROUP_FR', 7, 'oléagineux', 'Autres fruits oléagineux', 4, 100.0]]","['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0]",4.0,100.0
NVE,Autres oléagineux,Navette d’été,7,oléagineux,Navette dété,"[['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', ""Cultures permanentes d'oléagineux"", 4, 91.0], ['GROUP_FR', 7, 'oléagineux', 'Autres fruits oléagineux', 4, 100.0]]","['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0]",4.0,100.0
NVH,Autres oléagineux,Navette d’hiver,7,oléagineux,Navette dhiver,"[['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', ""Cultures permanentes d'oléagineux"", 4, 91.0], ['GROUP_FR', 7, 'oléagineux', 'Autres fruits oléagineux', 4, 100.0]]","['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0]",4.0,100.0
OAG,Autres oléagineux,Autre oléagineux d’un autre genre,7,oléagineux,oléagineux dun genre,"[['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', ""Cultures permanentes d'oléagineux"", 4, 91.0], ['GROUP_FR', 7, 'oléagineux', 'Autres fruits oléagineux', 4, 100.0]]","['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0]",4.0,100.0
OEH,Autres oléagineux,Autre oléagineux d’espèce Helianthus,7,oléagineux,oléagineux despèce Helianthus,"[['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', ""Cultures permanentes d'oléagineux"", 4, 91.0], ['GROUP_FR', 7, 'oléagineux', 'Autres fruits oléagineux', 4, 100.0]]","['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0]",4.0,100.0
OEI,Autres oléagineux,Œillette,7,oléagineux,Œillette,"[['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', ""Cultures permanentes d'oléagineux"", 4, 91.0], ['GROUP_FR', 7, 'oléagineux', 'Autres fruits oléagineux', 4, 100.0]]","['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0]",4.0,100.0
OHN,Autres oléagineux,Autre oléagineux d’hiver d’espèce Brassica napus,7,oléagineux,oléagineux dhiver despèce Brassica napus,"[['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', ""Cultures permanentes d'oléagineux"", 4, 91.0], ['GROUP_FR', 7, 'oléagineux', 'Autres fruits oléagineux', 4, 100.0]]","['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0]",4.0,100.0
OHR,Autres oléagineux,Autre oléagineux d’hiver d’espèce Brassica rapa,7,oléagineux,oléagineux dhiver despèce Brassica rapa,"[['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', ""Cultures permanentes d'oléagineux"", 4, 91.0], ['GROUP_FR', 7, 'oléagineux', 'Autres fruits oléagineux', 4, 100.0]]","['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0]",4.0,100.0
OPN,Autres oléagineux,Autre oléagineux de printemps d’espèce Brassica napus,7,oléagineux,oléagineux de printemps despèce Brassica napus,"[['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', ""Cultures permanentes d'oléagineux"", 4, 91.0], ['GROUP_FR', 7, 'oléagineux', 'Autres fruits oléagineux', 4, 100.0]]","['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0]",4.0,100.0
OPR,Autres oléagineux,Autre oléagineux de printemps d’espèce Brassica rapa,7,oléagineux,oléagineux de printemps despèce Brassica rapa,"[['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', ""Cultures permanentes d'oléagineux"", 4, 91.0], ['GROUP_FR', 7, 'oléagineux', 'Autres fruits oléagineux', 4, 100.0]]","['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0]",4.0,100.0
SOJ,Autres oléagineux,Soja,7,oléagineux,Soja,"[['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', 'Autres cultures oléagineuses temporaires', 4, 82.0], ['GROUP_FR', 7, 'oléagineux', ""Cultures permanentes d'oléagineux"", 4, 91.0], ['GROUP_FR', 7, 'oléagineux', 'Autres fruits oléagineux', 4, 100.0]]","['GROUP_FR', 7, 'oléagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 100.0]",4.0,100.0
FEV,Protéagineux,Fève,8,Protéagineux,Fève,"[['GROUP_FR', 8, 'Protéagineux', 'Plantes oléagineuses et fruits oléagineux', 4, 82.0], ['GROUP_FR', 8, 'Protéagineux', 'Autres fruits oléagineux', 4, 82.0], ['CROPS_FR', 'FEV', 'Fève', 'Fèves de soja', 4, 89.0], ['CROPS_FR', 'FEV', 'Fève', 'Fèves', 7, 89]]","['CROPS_FR', 'FEV', 'Fève', 'Fèves de soja', 4, 89.0]",4.0,89.0
