ID_CROPS_FR,GROUP_FR,CROPS_FR,ID_GROUP_FR,ID_GROUP_ICC
J5M,Gel (surfaces gelées sans production),Jachère de 5 ans ou moins,11,
J6P,Gel (surfaces gelées sans production),Jachère de 6 ans ou plus,11,
J6S,Gel (surfaces gelées sans production),Jachère de 6 ans ou plus déclarée comme Surface d’intérêt écologique,11,
JNO,Gel (surfaces gelées sans production),Jachère noire,11,
RIZ,Riz,Riz,14,1.0
LEC,Légumineuses à grains,Lentille cultivée (non fourragère),15,7.0
PCH,Légumineuses à grains,Pois chiche,15,7.0
BVF,Fourrage,Betterave fourragère,16,
CAF,Fourrage,Carotte fourragère,16,2.0
CHF,Fourrage,Chou fourrager,16,
CPL,Fourrage,Fourrage composé de céréales et/ou de protéagineux (en proportion < 50%) et/ou de légumineuses fourragères (en proportion < 50%),16,7.0
DTY,Fourrage,Dactyle de 5 ans ou moins,16,
FAG,Fourrage,Autre fourrage annuel d’un autre genre,16,
FET,Fourrage,Fétuque de 5 ans ou moins,16,
FF5,Fourrage,Féverole fourragère implantée pour la récolte 2015,16,
FF6,Fourrage,Féverole fourragère implantée pour la récolte 2016,16,
FF7,Fourrage,Féverole fourragère implantée pour la récolte 2017,16,
FF8,Fourrage,Féverole fourragère implantée pour la récolte 2018,16,
FFO,Fourrage,Autre féverole fourragère,16,
FLO,Fourrage,Fléole de 5 ans ou moins,16,
FSG,Fourrage,Autre plante fourragère sarclée d’un autre genre,16,
GAI,Fourrage,Gaillet,16,
GES,Fourrage,Gesse,16,
GFP,Fourrage,Autre graminée fourragère pure de 5 ans ou moins,16,
JO5,Fourrage,Jarosse implantée pour la récolte 2015,16,
JO6,Fourrage,Jarosse implantée pour la récolte 2016,16,
JO7,Fourrage,Jarosse implantée pour la récolte 2017,16,
JO8,Fourrage,Jarosse implantée pour la récolte 2018,16,
JOD,Fourrage,Jarosse déshydratée,16,
JOS,Fourrage,Autre jarosse,16,
LEF,Fourrage,Lentille fourragère,16,7.0
LFH,Fourrage,Autre lupin fourrager d’hiver,16,
LFP,Fourrage,Autre lupin fourrager de printemps,16,
LH5,Fourrage,Lupin fourrager d’hiver implanté pour la récolte 2015,16,7.0
LH6,Fourrage,Lupin fourrager d’hiver implanté pour la récolte 2016,16,7.0
LH7,Fourrage,Lupin fourrager d’hiver implanté pour la récolte 2017,16,7.0
LH8,Fourrage,Lupin fourrager d'hiver implanté pour la récolte 2018,16,7.0
LO7,Fourrage,Lotier implanté pour la récolte 2017,16,
LO8,Fourrage,Lotier implanté pour la récolte 2018,16,
LOT,Fourrage,Lotier,16,
LP5,Fourrage,Lupin fourrager de printemps implanté pour la récolte 2015,16,7.0
LP6,Fourrage,Lupin fourrager de printemps implanté pour la récolte 2016,16,7.0
LP7,Fourrage,Lupin fourrager de printemps implanté pour la récolte 2017,16,7.0
LP8,Fourrage,Lupin fourrager de printemps implanté pour la récolte 2018,16,7.0
LU5,Fourrage,Luzerne implantée pour la récolte 2015,16,
LU6,Fourrage,Luzerne implantée pour la récolte 2016,16,
LU7,Fourrage,Luzerne implantée pour la récolte 2017,16,
LU8,Fourrage,Luzerne implantée pour la récolte 2018,16,
LUD,Fourrage,Luzerne déshydratée,16,
LUZ,Fourrage,Autre luzerne,16,
MC5,Fourrage,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2015 et de céréales,16,7.0
MC6,Fourrage,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2016 et de céréales,16,7.0
MC7,Fourrage,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2017 et de céréales,16,7.0
MC8,Fourrage,Mélange de légumineuses fourragères prépondérantes implantées pour la récolte 2018 et de céréales et d’oléagineux,16,7.0
ME5,Fourrage,Mélilot implanté pour la récolte 2015,16,
ME6,Fourrage,Mélilot implanté pour la récolte 2016,16,
ME7,Fourrage,Mélilot implanté pour la récolte 2017,16,
ME8,Fourrage,Mélilot implanté pour la récolte 2018,16,
MED,Fourrage,Mélilot déshydraté,16,
MEL,Fourrage,Autre mélilot,16,
MH5,Fourrage,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2015 et d’herbacées ou de graminées fourragères,16,7.0
MH6,Fourrage,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2016 et d’herbacées ou de graminées fourragères,16,7.0
MH7,Fourrage,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2017 et d’herbacées ou de graminées fourragères,16,7.0
MI7,Fourrage,Minette implanté pour la récolte 2017,16,
